"","species","genect","genelen_mean","genelen_sd","intronlen_mean","intronlen_sd","intronct_mean","intronct_sd","exonlen_mean","exonlen_sd","genome_size","contig_count"
"Aspchev1","Aspchev1",10253,"1637.418","1139.528","75.690","93.526","2.065","2.029","534.273","660.982",26413841,417
"Aspcl1","Aspcl1",9121,"1483.607","1194.032","78.449","74.903","2.065","1.921","483.994","672.083",27859441,143
"Aspcos1","Aspcos1",11966,"1456.800","1166.378","84.735","99.120","2.309","2.240","440.304","622.744",36947918,86
"Aspcri1","Aspcri1",10344,"1427.508","1077.223","72.722","75.459","1.978","1.986","479.420","649.169",28454192,68
"Aspdese1","Aspdese1",10111,"1680.696","1166.761","78.070","94.211","2.203","2.163","524.799","654.550",29041708,288
"Aspegy1","Aspegy1",9890,"1762.237","1236.169","82.801","105.171","2.215","2.171","548.170","681.181",28335649,682
"Aspell1","Aspell1",12884,"1315.719","1097.757","97.856","314.259","2.083","2.214","426.727","577.363",42866077,518
"Aspeuc1","Aspeuc1",11934,"1632.305","1161.496","86.892","163.512","2.269","2.246","499.357","635.503",34792412,131
"Aspfij1","Aspfij1",12019,"1424.661","1134.628","86.361","101.122","2.110","2.120","458.128","626.798",36513906,149
"Aspfili1","Aspfili1",11686,"1685.933","1174.881","80.366","105.300","2.169","2.107","531.935","662.175",31484740,814
"Aspfl1","Aspfl1",12604,"1492.987","1122.777","116.877","145.068","2.278","2.096","455.434","620.342",36790245,138
"Aspfu_A1163_1","Aspfu_A1163_1",9916,"1454.028","1108.776","80.008","88.338","1.930","1.834","496.253","659.351",29205420,55
"Aspfu1","Aspfu1",9781,"1477.476","1114.609","81.141","103.397","1.925","1.862","505.145","681.042",29388377,8
"Aspfuni1","Aspfuni1",9300,"1770.709","1182.808","86.523","96.586","2.230","2.143","548.280","668.512",25445165,144
"Aspgl1","Aspgl1",11277,"1491.563","1093.384","81.681","167.837","2.036","1.957","491.220","628.918",27993362,82
"Asphet1","Asphet1",11133,"1564.388","1201.219","101.905","279.237","2.132","2.151","499.450","640.591",35607567,205
"Asphom1","Asphom1",11361,"1410.396","1157.918","94.547","224.882","2.164","2.112","445.791","614.260",34054866,152
"Aspibe1","Aspibe1",11680,"1403.630","1104.387","76.605","91.216","2.148","2.157","445.839","608.603",33437983,116
"Aspind2_1","Aspind2_1",11361,"1707.865","1187.200","77.864","95.557","2.234","2.149","528.032","657.978",32492420,601
"Aspind1","Aspind1",12163,"1404.598","1169.488","98.283","308.985","2.063","2.112","458.597","629.334",38592838,334
"Aspinso1","Aspinso1",8834,"1729.719","1161.478","72.742","88.879","2.252","2.156","531.953","656.959",23177606,157
"Aspjap1","Aspjap1",12024,"1419.142","1122.495","88.005","106.657","2.117","2.219","455.337","620.649",36099954,163
"Aspka1_1","Aspka1_1",11475,"1478.396","1127.624","78.532","91.129","2.110","2.069","475.412","647.989",36544702,317
"Aspfo1","Aspfo1",13530,"1515.180","1139.139","87.569","204.963","2.102","2.124","488.500","630.340",37468345,107
"Aspmin1","Aspmin1",13415,"1648.205","1158.656","86.456","111.902","2.234","2.214","509.580","642.928",37064162,296
"Aspmul1_1","Aspmul1_1",12821,"1648.107","1151.905","78.031","100.781","2.134","2.155","525.841","637.973",35254497,113
"Aspneoa1","Aspneoa1",12221,"1672.898","1159.964","84.503","101.069","2.259","2.223","513.371","637.651",36859054,364
"Aspne1","Aspne1",10504,"1738.890","1186.533","76.367","86.085","2.258","2.132","533.652","658.006",30669358,236
"Aspneo1","Aspneo1",11939,"1646.188","1175.416","87.504","162.863","2.311","2.250","497.238","637.782",35416444,169
"Aspnid1","Aspnid1",10680,"1551.033","1120.810","81.918","78.443","2.253","1.947","476.788","633.863",30483994,8
"Asplac1","Asplac1",13083,"1611.204","1176.155","95.621","167.173","2.467","2.355","464.734","623.831",35855892,109
"Aspph1","Aspph1",11977,"1685.753","1198.052","88.787","171.509","2.367","2.277","500.651","645.032",35753538,55
"Aspni7","Aspni7",11910,"1634.487","1204.697","95.118","196.689","2.381","2.252","483.490","633.169",34853277,24
"Aspni_DSM_1","Aspni_DSM_1",14097,"1324.167","1103.604","97.123","86.042","2.575","2.233","370.446","565.127",33975768,19
"Aspni_NRRL3_1","Aspni_NRRL3_1",11846,"1499.909","1154.736","70.358","41.714","2.232","2.116","464.120","651.108",35245396,15
"Aspni_bvT_1","Aspni_bvT_1",12197,"1680.527","1198.784","91.128","155.975","2.438","2.326","488.871","638.105",35690699,133
"Aspnom13137_1","Aspnom13137_1",11914,"1545.017","1148.341","84.135","119.859","2.377","2.289","457.530","587.984",36138823,1118
"Aspnom1","Aspnom1",12897,"1642.376","1139.658","83.539","109.989","2.233","2.205","507.943","635.285",36713177,290
"Aspnov1","Aspnov1",11549,"1547.452","1116.808","77.516","139.233","2.345","2.220","462.597","571.977",32440129,62
"Aspnovo1","Aspnovo1",14182,"1598.242","1138.171","86.661","118.664","2.201","2.151","499.279","627.271",40857493,870
"Aspoch1","Aspoch1",8924,"1625.439","1187.458","94.097","227.263","2.225","2.123","504.010","650.181",27718211,34
"Aspoch1432_1","Aspoch1432_1",7829,"1562.575","1153.820","87.271","115.899","2.317","2.134","471.077","623.212",24273657,3590
"Aspoli1_1","Aspoli1_1",12183,"1653.702","1135.958","80.229","103.842","2.133","2.122","527.838","648.395",33173879,824
"Aspor1","Aspor1",12030,"1433.575","1049.625","110.660","202.418","1.977","1.888","481.608","641.709",37882812,11
"Asppar1","Asppar1",13752,"1658.929","1178.187","84.498","111.054","2.226","2.204","514.283","655.207",38390758,270
"Aspparv1","Aspparv1",11927,"1707.632","1173.442","83.881","107.553","2.212","2.148","531.718","650.424",32731898,329
"Asppeni1","Asppeni1",10386,"1672.148","1139.105","78.459","89.216","2.107","2.076","538.176","656.881",26403364,255
"Asppip1","Asppip1",12069,"1430.473","1150.833","85.758","172.912","2.192","2.209","448.169","620.510",35280331,47
"Aspram1","Aspram1",7761,"1580.871","1172.770","89.408","130.535","2.345","2.142","472.635","640.951",26435630,4177
"Asprec1_1","Asprec1_1",11007,"1713.947","1222.875","77.581","98.213","2.151","2.136","543.938","674.860",30717846,269
"Aspres1","Aspres1",9143,"1722.757","1132.140","83.561","98.750","2.051","2.025","564.740","691.323",23256008,297
"Asprobu1","Asprobu1",12182,"1691.557","1187.629","78.400","95.671","2.255","2.208","519.632","658.033",33138998,186
"Aspros1","Aspros1",12489,"1668.394","1207.333","80.783","95.737","2.206","2.193","520.446","652.197",35815337,708
"Aspsac1","Aspsac1",10066,"1665.591","1189.807","96.785","232.346","2.197","2.116","521.018","663.965",31096189,120
"Aspscle1","Aspscle1",12571,"1411.706","1160.299","85.588","238.818","2.136","2.168","450.146","613.877",37621264,166
"Aspscl1","Aspscl1",12338,"1618.182","1164.393","81.722","186.668","2.204","2.192","505.024","632.493",36720365,138
"Aspsc1","Aspsc1",12620,"1667.942","1224.315","81.955","97.799","2.146","2.227","530.226","661.645",37971091,335
"Aspstel1_1","Aspstel1_1",12537,"1683.713","1176.592","79.286","103.404","2.127","2.108","538.378","660.618",33998249,266
"Aspstec1_1","Aspstec1_1",10324,"1698.133","1159.926","79.541","103.097","2.159","2.138","537.480","660.481",29263932,278
"Aspste1","Aspste1",13211,"1567.491","1179.378","86.874","209.358","2.170","2.170","494.546","642.143",37847960,37
"Aspsy1","Aspsy1",13620,"1546.996","1059.587","78.596","145.849","2.148","2.091","491.373","611.597",34381026,97
"Asptaic1","Asptaic1",9692,"1740.401","1153.017","85.036","104.642","2.150","2.146","552.595","671.682",27121736,310
"Aspte1","Aspte1",10406,"1500.809","1106.765","81.775","68.143","2.182","1.968","471.597","634.588",29331195,26
"Asptr1","Asptr1",9769,"1718.460","1156.866","86.712","110.838","2.170","2.199","542.149","668.155",27452540,228
"Asptu1","Asptu1",12322,"1579.765","1176.267","86.667","194.161","2.190","2.173","495.264","649.197",35146149,33
"Aspuda1","Aspuda1",9999,"1600.440","1217.697","107.317","278.047","2.284","2.326","487.340","664.308",32185562,1029
"Aspund1_1","Aspund1_1",11802,"1650.479","1150.938","81.246","106.934","2.139","2.122","525.861","639.700",32112944,190
"Aspung1","Aspung1",10397,"1726.081","1159.724","68.347","79.306","2.181","2.083","542.669","661.139",26060700,142
"Aspuva1","Aspuva1",12017,"1630.388","1173.460","96.394","253.188","2.145","2.170","518.399","654.848",35850703,172
"Aspvad1","Aspvad1",12132,"1628.597","1159.717","86.005","209.001","2.245","2.263","501.845","641.872",35663374,60
"Aspven1","Aspven1",12450,"1683.939","1187.943","80.091","105.257","2.158","2.147","533.285","660.468",34837464,715
"Aspve1","Aspve1",13228,"1599.681","1156.751","75.018","148.285","2.169","2.104","504.749","654.068",33126810,51
"Aspvio1","Aspvio1",12082,"1412.360","1160.879","91.884","188.250","2.104","2.211","455.080","624.785",36012865,209
"Aspwel1","Aspwel1",13687,"1585.053","1183.134","85.294","108.594","2.143","2.311","504.245","628.823",37511876,396
"Aspwe1","Aspwe1",12442,"1554.365","1117.465","75.210","139.987","2.131","2.065","496.442","625.090",31350635,27
"Aspzo1","Aspzo1",9886,"1628.974","1195.939","84.447","163.770","2.224","2.040","505.320","660.500",28924210,260
"Atrsp2","Atrsp2",17606,"1219.611","878.178","84.810","269.147","4.300","4.169","230.117","275.740",51470471,1998
"Aulhe2","Aulhe2",12127,"1508.642","1056.893","88.823","123.892","1.657","1.683","567.877","666.053",31983478,173
"Aurpu_var_mel1","Aurpu_var_mel1",10594,"1332.906","955.395","81.119","270.165","1.541","1.590","524.547","659.450",26203324,150
"Aurpu_var_nam1","Aurpu_var_nam1",10266,"1357.852","975.208","80.951","123.450","1.592","1.608","523.872","667.576",25428601,47
"Aurpu_var_pul1","Aurpu_var_pul1",11866,"1511.849","1021.684","78.859","151.833","1.483","1.575","608.927","729.400",29621078,186
"Aurpu_var_sub1","Aurpu_var_sub1",10809,"1535.570","1039.758","71.001","102.869","1.511","1.552","611.479","738.904",25796716,75
"Aurde3_1","Aurde3_1",25459,"1216.840","902.847","89.190","345.416","3.799","4.276","253.546","314.371",76853599,761
"Auramp1","Auramp1",15576,"1437.091","978.059","69.246","81.237","4.718","4.460","251.326","295.900",49873921,351
"Aurvu1","Aurvu1",16945,"1313.520","918.893","66.328","121.572","4.222","4.419","251.521","301.682",39647923,1349
"Babin1","Babin1",6403,"1497.479","1068.249","258.941","602.493","0.265","0.595","1183.748","1055.573",15221050,49
"Bacci1","Bacci1",17039,"1241.843","969.833","97.057","178.426","3.255","3.018","291.863","388.419",48648288,1095
"Basun1","Basun1",6123,"1105.908","921.042","93.125","168.606","7.470","7.070","130.562","138.226",32128072,2992
"Basme2finSC","Basme2finSC",16111,"1233.827","1086.703","75.159","91.963","2.827","3.710","322.368","510.381",89489060,1366
"Batde5","Batde5",8732,"1407.289","1204.592","127.184","317.533","3.286","3.796","328.366","479.410",24315081,127
"Bauco1","Bauco1",10513,"1460.236","1046.492","77.204","121.333","1.145","1.399","680.835","789.426",21876451,19
"Beaba1","Beaba1",10364,"1500.188","1130.572","100.083","160.689","1.732","1.921","549.068","751.394",33693936,235
"Benpoi1","Benpoi1",11659,"1388.688","1031.044","88.507","84.683","3.135","2.906","335.830","427.282",32504669,20
"Bimnz1","Bimnz1",16650,"1171.245","991.065","87.045","109.627","1.620","1.774","446.968","563.703",78183505,321
"Bisnum1","Bisnum1",11671,"1553.128","1082.009","96.647","105.116","1.917","1.940","532.476","649.311",41161898,57
"Bissp1","Bissp1",17945,"1478.292","1060.917","80.594","94.318","2.158","2.133","468.129","559.971",56472170,479
"Bjead1_1","Bjead1_1",15473,"1387.634","974.845","68.624","370.568","4.593","4.496","248.086","297.753",42730300,508
"Blatri_F921_1","Blatri_F921_1",11119,"1374.413","1019.399","73.558","72.105","3.055","2.845","338.917","429.048",33516133,253
"Blatri_F986_2","Blatri_F986_2",10672,"1379.123","1029.610","74.108","74.967","3.045","2.807","340.939","432.195",32322358,396
"Blatri1","Blatri1",11687,"1311.424","1024.239","79.462","88.797","2.929","2.787","333.811","426.422",37513922,328
"Arxad1","Arxad1",6118,"1428.816","1017.226","86.811","108.248","0.150","0.475","1242.573","1019.466",11804616,4
"Blade1","Blade1",11343,"2423.262","1801.230","110.280","94.007","2.333","2.187","727.132","898.412",75353942,100
"Blugr2","Blugr2",7118,"2112.103","1279.306","76.770","264.924","1.958","1.636","713.965","808.584",124489486,318
"BlugrR1_1","BlugrR1_1",7239,"2022.808","1274.301","67.896","76.426","1.976","1.636","679.779","766.440",116475897,99
"Blugra1","Blugra1",6525,"1333.358","1050.869","73.496","102.202","1.488","1.456","535.955","671.819",158944908,1867
"Blyhe1","Blyhe1",12167,"1078.101","895.372","127.385","122.160","3.363","3.399","247.108","307.713",46472760,8398
"Boeex1","Boeex1",12871,"1674.331","1071.022","73.369","91.193","1.639","1.569","634.467","697.777",35322113,26
"Bolvit1","Bolvit1",14483,"1396.553","945.766","58.127","56.623","4.350","4.418","261.015","309.514",51241791,428
"Boled5","Boled5",16355,"1299.360","1025.774","65.067","69.481","4.569","4.504","233.325","290.799",66525535,594
"Boledp1","Boledp1",16753,"1295.836","1022.015","65.635","69.648","4.659","4.569","229.004","282.629",69185680,478
"Cornip1","Cornip1",9820,"1747.584","1192.531","112.282","121.401","2.112","2.112","561.487","705.669",37032637,132
"Bombom1","Bombom1",12102,"1560.008","1099.649","112.846","140.036","1.869","1.847","543.819","659.111",38597794,20
"Borrad1","Borrad1",12283,"1528.569","992.765","70.321","63.740","5.391","4.780","239.180","291.144",38735177,191
"Botbo1","Botbo1",16526,"1342.927","988.045","74.412","200.687","4.582","4.852","240.566","299.937",46674321,334
"Botdo1_1","Botdo1_1",14998,"1580.785","1276.467","95.010","99.122","2.340","2.389","473.273","629.793",43500615,1711
"Botmuc1","Botmuc1",5716,"1669.480","1151.978","151.194","197.120","0.975","1.366","845.164","1029.583",21119431,158
"Botci1","Botci1",16447,"1005.299","982.488","136.862","148.963","1.636","1.645","381.349","537.197",42663021,588
"Bulin1","Bulin1",9864,"1528.225","1091.830","75.626","84.246","1.787","1.679","548.300","679.607",26108822,38
"Byssp1","Byssp1",8877,"1616.883","1178.554","117.962","239.708","2.453","2.448","468.274","636.738",29762401,1053
"Bysci1","Bysci1",15785,"1490.878","1056.366","92.303","204.662","1.673","1.734","557.812","633.338",49288729,160
"Cadsp1","Cadsp1",22766,"1401.342","998.440","88.817","201.496","2.043","2.113","460.460","533.909",70459101,1193
"Caecom1","Caecom1",14436,"1688.382","1429.112","188.557","193.619","3.742","4.776","356.067","631.670",165495782,7737
"Calor1","Calor1",8494,"1641.006","1229.875","89.541","86.773","2.240","2.163","506.549","689.843",28171555,643
"Calco1","Calco1",13177,"1381.293","970.693","65.845","107.362","3.439","3.648","311.170","368.126",33244933,545
"Calvi1","Calvi1",12378,"1433.172","966.840","62.609","124.523","3.589","3.668","312.320","375.045",29097227,214
"Calful1","Calful1",9203,"1472.049","1067.401","95.550","95.209","3.014","2.737","366.727","412.066",44839139,405
"Calpu1","Calpu1",10200,"1525.623","1134.286","125.126","140.303","2.150","2.184","484.385","647.822",37801971,2010
"Canalb1","Canalb1",6040,"1484.762","1078.188","165.336","167.064","0.067","0.281","1392.109","1098.484",14282666,8
"Canar1","Canar1",5861,"1543.924","1112.969","216.648","397.734","0.336","0.742","1155.971","1044.128",13234078,62
"Canbo1","Canbo1",6230,"1601.248","1301.763","477.976","581.346","0.562","1.128","1024.839","1185.271",19278657,704
"Canta1","Canta1",5895,"1473.456","1079.304","174.592","326.901","0.241","0.571","1187.264","1007.289",13136204,16
"Cante1","Cante1",5533,"1614.272","1130.733","168.581","323.280","0.212","0.508","1331.907","1058.706",10747050,25
"Cananz1","Cananz1",16127,"1312.807","981.758","70.866","74.614","4.304","4.323","247.509","299.331",120173979,614
"Capcor1","Capcor1",9231,"1515.670","1050.104","78.904","67.686","1.218","1.471","683.395","861.159",25807613,11
"Capep1","Capep1",10469,"1480.150","1009.163","85.745","70.625","1.308","1.617","641.192","808.379",28889638,18
"Capse1","Capse1",11909,"2077.070","1184.146","80.050","94.203","1.566","1.723","809.392","924.824",31616172,13
"Catan2","Catan2",12803,"1359.731","1030.934","89.661","83.127","1.794","2.126","486.601","538.004",41337528,509
"Caupr_SCcomb","Caupr_SCcomb",3328,"1005.165","914.065","206.494","236.174","0.478","0.822","680.054","760.926",10621701,5001
"Caupr1","Caupr1",6168,"1672.341","1598.016","233.473","261.937","0.581","0.942","1058.057","1320.143",21796879,564
"Cenge3","Cenge3",14748,"1412.360","1111.171","100.413","342.377","1.926","2.134","482.656","579.181",177557160,268
"Cepal1_1","Cepal1_1",6196,"1361.414","1011.630","123.603","187.749","0.389","0.771","979.826","964.739",15275007,25
"Cepfr1_1","Cepfr1_1",5717,"1422.418","1016.735","103.856","126.851","0.375","0.776","1034.601","987.557",13697830,16
"Cersp1","Cersp1",7822,"1566.770","1257.072","99.685","75.259","2.815","2.975","410.645","582.979",24148100,251
"CerAGI","CerAGI",18059,"1210.157","954.305","68.582","77.341","4.941","4.868","203.687","260.345",58444101,913
"Cercau1","Cercau1",14552,"1499.252","1065.604","86.174","114.256","1.589","1.674","579.133","668.690",41294634,11
"Cernew1","Cernew1",14520,"1524.362","1063.617","89.510","112.549","1.619","1.707","581.931","673.712",39838444,7
"Cersc1","Cersc1",11779,"1743.195","1136.125","102.300","114.451","1.807","1.852","621.104","736.613",40165273,9
"Cerzm1","Cerzm1",12020,"1321.953","1011.178","118.305","457.940","1.317","1.443","570.654","700.308",46606380,917
"Cercer1","Cercer1",13489,"1439.331","970.551","64.695","66.335","3.570","3.640","314.961","374.629",33200339,376
"Cervir1","Cervir1",13914,"1531.104","969.398","64.777","59.346","5.253","4.778","244.874","289.468",62630014,410
"Cersu1","Cersu1",12125,"1605.179","1182.278","70.797","210.563","5.669","5.368","240.709","301.315",38969816,740
"Cerun2","Cerun2",12966,"1408.181","986.183","70.785","134.343","4.949","4.565","236.690","285.447",36004620,547
