Species strain,Species,Strain,Clade,Source,Assembly Accession,Keep,Notes
Amylocorticium subincarnatum OMC1654 v1.0,Amylocorticium subincarnatum OMC1654,OMC1654,,JGI,,,
Amylocystis lapponica SKaAmylap13 v1.0,Amylocystis lapponica SKaAmylap13,SKaAmylap13,,JGI,,,
Amylomyces rouxii NRRL 5866 v1.0,Amylomyces rouxii NRRL 5866,NRRL 5866,,JGI,,,
Amylostereum chailletii DWAch2 v1.0,Amylostereum chailletii DWAch2,DWAch2,,JGI,,,
Anaeromyces robustus v1.0,Anaeromyces robustus,S4,,JGI,,,
Anaeromyces robustus str. S4 (GCA_002104895),Anaeromyces robustus str. S4,S4,,Ensembl-Genbank,,,
Anncaliia algerae PRA109 (GCA_000385855),Anncaliia algerae PRA109,PRA109,,Ensembl-Genbank,,,
Anncaliia algerae PRA339 (GCA_000385875),Anncaliia algerae PRA339,PRA339,,Ensembl-Genbank,,,
Anomoloma albolutescens OMC1655 v1.0,Anomoloma albolutescens OMC1655,OMC1655,,JGI,,,
Anomoporia bombycina ATCC 64506 v1.0,Anomoporia bombycina ATCC 64506,ATCC 64506,,JGI,,,
Anomoporia myceliosa MJL 4413 v1.0,Anomoporia myceliosa MJL 4413,MJL 4413,,JGI,,,
Anthostoma avocetta NRRL 3190 v1.0,Anthostoma avocetta NRRL 3190,NRRL 3190,,JGI,,,
Anthracocystis flocculosa PF-1 (GCA_000417875),Anthracocystis flocculosa PF-1,PF-1,,Ensembl-Genbank,,,
Antonospora locustae HM-2013,Antonospora locustae HM-2013,HM-2013,,JGI,,,
Antrodia serialis Sig1Antser10 v1.0,Antrodia serialis Sig1Antser10,Sig1Antser10,,JGI,,,
Aphanobasidium pseudotsugae OMC1630 v1.0,Aphanobasidium pseudotsugae OMC1630,OMC1630,,JGI,,,
Apiosordaria backusii CBS 540.89 v1.0,Apiosordaria backusii CBS 540.89,CBS 540.89,,JGI,,,
Apiospora montagnei NRRL 25634 v1.0,Apiospora montagnei NRRL 25634,NRRL 25634,,JGI,,,
Aplosporella prunicola CBS 121.167 v1.0,Aplosporella prunicola CBS 121.167,CBS 121.167,,JGI,,,
Apodospora peruviana CBS 118394 v1.0,Apodospora peruviana CBS 118394,CBS 118394,,JGI,,,
Aporpium caryae L-13461,Aporpium caryae L-13461,L-13461,,JGI,,,
Armillaria borealis FPL87.14 v1.0,Armillaria borealis FPL87.14,FPL87.14,,JGI,,,
Armillaria cepistipes B5,Armillaria cepistipes B5,B5,,JGI,,,
Armillaria ectypa FPL83.16 v1.0,Armillaria ectypa FPL83.16,FPL83.16,,JGI,,,
Armillaria gallica 21-2 v1.0,Armillaria gallica 21-2,21-2,,JGI,,,
Armillaria gallica str. Ar21-2 (GCA_002307695),Armillaria gallica str. Ar21-2,Ar21-2,,Ensembl-Genbank,,,
Armillaria luteobubalina HWK02 v1.0,Armillaria luteobubalina HWK02,HWK02,,JGI,,,
Armillaria mellea DSM 3731,Armillaria mellea DSM 3731,DSM 3731,,JGI,,,
Armillaria nabsnona CMW6904 v1.0,Armillaria nabsnona CMW6904,CMW6904,,JGI,,,
Armillaria ostoyae (GCA_900157425),Armillaria ostoyae,C18/9,,Ensembl-Genbank,,,
Armillaria ostoyae C18/9,Armillaria ostoyae C18/9,C18/9,,JGI,,,
Armillaria solidipes 28-4 v1.0,Armillaria solidipes 28-4,28-4,,JGI,,,
Armillaria solidipes str. 28-4 (GCA_002307675),Armillaria solidipes str. 28-4,28-4,,Ensembl-Genbank,,,
Armillaria tabescens CCBAS 213 v1.0,Armillaria tabescens CCBAS 213,CCBAS 213,,JGI,,,
Arthroascus fermentans 17710 v1.0,Arthroascus fermentans 17710,17710,,JGI,,,
Arthrobotrys oligospora ATCC 24927,Arthrobotrys oligospora ATCC 24927,ATCC 24927,,JGI,,,
Arthrobotrys oligospora ATCC 24927 (GCA_000225545),Arthrobotrys oligospora ATCC 24927,ATCC 24927,,Ensembl-Genbank,,,
Arthroderma benhamiae CBS 112371,Arthroderma benhamiae CBS 112371,CBS 112371,,JGI,,,
Ascobolus immersus RN42 v1.0,Ascobolus immersus RN42,RN42,,JGI,,,
Ascochyta rabiei ArDII,Ascochyta rabiei ArDII,ArDII,,JGI,,,
Ascochyta rabiei str. ArDII (GCA_001630375),Ascochyta rabiei str. ArDII,ArDII,,Ensembl-Genbank,,,
Ascocoryne sarcoides NRRL50072,Ascocoryne sarcoides NRRL50072,NRRL 50072,,JGI,,,
Ascodesmis nigricans CBS 389.68 v1.0,Ascodesmis nigricans CBS 389.68,CBS 389.68,,JGI,,,
Ascoidea rubescens DSM 1968 (GCA_001661345),Ascoidea rubescens DSM 1968,DSM 1968,,Ensembl-Genbank,,,
Ascoidea rubescens NRRL Y17699 v1.0,Ascoidea rubescens NRRL Y17699,NRRL Y17699,,JGI,,,
Ascosphaera apis ARSEF 7405 (GCA_001636715),Ascosphaera apis ARSEF 7405,ARSEF 7405,Ascomyocta,Ensembl-Genbank,,,
Aspergillus aculeatinus CBS 121060 (GCA_003184765),Aspergillus aculeatinus CBS 121060,CBS 121060,Ascomyocta,Ensembl-Genbank,,,
Aspergillus aculeatinus CBS 121060 v1.0,Aspergillus aculeatinus CBS 121060,CBS 121060,Ascomyocta,JGI,,,
Aspergillus aculeatus ATCC 16872,Aspergillus aculeatus ATCC 16872,ATCC 16872,Ascomyocta,FungiDB,,,
Aspergillus aculeatus ATCC 16872 (GCA_001890905),Aspergillus aculeatus ATCC 16872,ATCC 16872,Ascomyocta,Ensembl-Genbank,,,
Aspergillus aculeatus ATCC16872 v1.1,Aspergillus aculeatus ATCC16872,ATCC16872,Ascomyocta,JGI,,,
Aspergillus arachidicola str. CBS 117610 (GCA_002749805),Aspergillus arachidicola str. CBS 117610,CBS 117610,Ascomyocta,Ensembl-Genbank,,,
Aspergillus bombycis NRRL 26010,Aspergillus bombycis NRRL 26010,NRRL 26010,Ascomyocta,JGI,,,
Aspergillus bombycis str. NRRL26010 (GCA_001792695),Aspergillus bombycis str. NRRL26010,NRRL 26010,Ascomyocta,Ensembl-Genbank,,,
Aspergillus brasiliensis v1.0,Aspergillus brasiliensis,CBS 101740,Ascomyocta,JGI,,,
Aspergillus brasiliensis CBS 101740,Aspergillus brasiliensis CBS 101740,CBS 101740,Ascomyocta,FungiDB,,,
Aspergillus brasiliensis CBS 101740 (GCA_001889945),Aspergillus brasiliensis CBS 101740,CBS 101740,Ascomyocta,Ensembl-Genbank,,,
Aspergillus brunneoviolaceus CBS 621.78 (GCA_003184695),Aspergillus brunneoviolaceus CBS 621.78,CBS 621.78,Ascomyocta,Ensembl-Genbank,,,
Aspergillus brunneoviolaceus CBS 621.78 v1.0,Aspergillus brunneoviolaceus CBS 621.78,CBS 621.78,Ascomyocta,JGI,,,
Aspergillus calidoustus str. SF006504 (GCA_001511075),Aspergillus calidoustus str. SF006504,SF006504,Ascomyocta,Ensembl-Genbank,,,
Aspergillus campestris IBT 28561,Aspergillus campestris IBT 28561,IBT 28561,Ascomyocta,FungiDB,,,
Aspergillus campestris IBT 28561 (GCA_002847485),Aspergillus campestris IBT 28561,IBT 28561,Ascomyocta,Ensembl-Genbank,,,
Aspergillus campestris IBT 28561 v1.0,Aspergillus campestris IBT 28561,IBT 28561,Ascomyocta,JGI,,,
Aspergillus candidus CBS 102.13 v1.0,Aspergillus candidus CBS 102.13,CBS 102.13,Ascomyocta,JGI,,,
Aspergillus candidus str. CBS 102.13 (GCA_002847045),Aspergillus candidus str. CBS 102.13,CBS 102.13,Ascomyocta,Ensembl-Genbank,,,
Aspergillus carbonarius ITEM 5010,Aspergillus carbonarius ITEM 5010,ITEM 5010,Ascomyocta,FungiDB,,,
Aspergillus carbonarius ITEM 5010 (GCA_001990825),Aspergillus carbonarius ITEM 5010,ITEM 5010,Ascomyocta,Ensembl-Genbank,,,
Aspergillus carbonarius ITEM 5010 v3,Aspergillus carbonarius ITEM 5010,ITEM 5010,Ascomyocta,JGI,,,
Aspergillus clavatus NRRL 1,Aspergillus clavatus NRRL 1,NRRL 1,Ascomyocta,FungiDB,,,
Aspergillus clavatus NRRL 1,Aspergillus clavatus NRRL 1,NRRL 1,Ascomyocta,Ensembl-Genbank,,,
Aspergillus clavatus NRRL 1 from AspGD,Aspergillus clavatus NRRL 1 from AspGD,NRRL 1,Ascomyocta,JGI,,,
Aspergillus costaricaensis CBS 115574 v1.0,Aspergillus costaricaensis CBS 115574,CBS 115574,Ascomyocta,JGI,,,
Aspergillus cristatus GZAAS20.1005,Aspergillus cristatus GZAAS20.1005,GZAAS20.1005,Ascomyocta,JGI,,,
Aspergillus cristatus str. GZAAS20.1005 (GCA_001717485),Aspergillus cristatus str. GZAAS20.1005,GZAAS20.1005,Ascomyocta,Ensembl-Genbank,,,
Aspergillus ellipticus CBS 707.79 (GCA_003184645),Aspergillus ellipticus CBS 707.79,CBS 707.79,Ascomyocta,Ensembl-Genbank,,,
Aspergillus ellipticus CBS 707.79 v1.0,Aspergillus ellipticus CBS 707.79,CBS 707.79,Ascomyocta,JGI,,,
Aspergillus eucalypticola CBS 122712 (GCA_003184535),Aspergillus eucalypticola CBS 122712,CBS 122712,Ascomyocta,Ensembl-Genbank,,,
Aspergillus eucalypticola CBS 122712 v1.0,Aspergillus eucalypticola CBS 122712,CBS 122712,Ascomyocta,JGI,,,
Aspergillus fijiensis CBS 313.89 v1.0,Aspergillus fijiensis CBS 313.89,CBS 313.89,Ascomyocta,JGI,,,
Aspergillus fischeri NRRL 181,Aspergillus fischeri NRRL 181,NRRL 181,Ascomyocta,FungiDB,,,
Aspergillus fischeri NRRL 181,Aspergillus fischeri NRRL 181,NRRL 181,Ascomyocta,Ensembl-Genbank,,,
Aspergillus flavus AF70 (GCA_000952835),Aspergillus flavus AF70,AF70,Ascomyocta,Ensembl-Genbank,,,
Aspergillus flavus NRRL3357,Aspergillus flavus NRRL3357,NRRL 3357,Ascomyocta,FungiDB,,,
Aspergillus flavus NRRL3357,Aspergillus flavus NRRL3357,NRRL 3357,Ascomyocta,JGI,,,
Aspergillus flavus NRRL3357,Aspergillus flavus NRRL3357,NRRL 3357,Ascomyocta,Ensembl-Genbank,,,
Aspergillus fumigatus (GCA_002234985),Aspergillus fumigatus,HMR AF 706,Ascomyocta,Ensembl-Genbank,,,
Aspergillus fumigatus A1163,Aspergillus fumigatus A1163,A1163,Ascomyocta,FungiDB,,,
Aspergillus fumigatus A1163,Aspergillus fumigatus A1163,A1163,Ascomyocta,JGI,,,
Aspergillus fumigatus A1163,Aspergillus fumigatus A1163,A1163,Ascomyocta,Ensembl-Genbank,,,
Aspergillus fumigatus Af293,Aspergillus fumigatus Af293,Af293,Ascomyocta,FungiDB,,,
Aspergillus fumigatus Af293,Aspergillus fumigatus Af293,Af293,Ascomyocta,Ensembl-Genbank,,,
Aspergillus fumigatus Af293 from AspGD,Aspergillus fumigatus Af293 from AspGD,Af293 from AspGD,Ascomyocta,JGI,,,
Aspergillus fumigatus var. RP-2014 (GCA_000731615),Aspergillus fumigatus var. RP-2014,RP-2014,Ascomyocta,Ensembl-Genbank,,,
Aspergillus fumigatus Z5 (GCA_001029325),Aspergillus fumigatus Z5,Z5,Ascomyocta,Ensembl-Genbank,,,
Aspergillus glaucus v1.0,Aspergillus glaucus,CBS 516.65,Ascomyocta,JGI,,,
Aspergillus glaucus CBS 516.65,Aspergillus glaucus CBS 516.65,CBS 516.65,Ascomyocta,FungiDB,,,
Aspergillus glaucus CBS 516.65 (GCA_001890805),Aspergillus glaucus CBS 516.65,CBS 516.65,Ascomyocta,Ensembl-Genbank,,,
Aspergillus heteromorphus CBS 117.55 (GCA_003184545),Aspergillus heteromorphus CBS 117.55,CBS 117.55,Ascomyocta,Ensembl-Genbank,,,
Aspergillus heteromorphus CBS 117.55 v1.0,Aspergillus heteromorphus CBS 117.55,CBS 117.55,Ascomyocta,JGI,,,
Aspergillus homomorphus CBS 101889 v1.0,Aspergillus homomorphus CBS 101889,CBS 101889,Ascomyocta,JGI,,,
Aspergillus ibericus CBS 121593 v1.0,Aspergillus ibericus CBS 121593,CBS 121593,Ascomyocta,JGI,,,
Aspergillus indologenus CBS 114.80 (GCA_003184685),Aspergillus indologenus CBS 114.80,CBS 114.80,Ascomyocta,Ensembl-Genbank,,,
Aspergillus indologenus CBS 114.80 v1.0,Aspergillus indologenus CBS 114.80,CBS 114.80,Ascomyocta,JGI,,,
Aspergillus japonicus CBS 114.51 (GCA_003184785),Aspergillus japonicus CBS 114.51,CBS 114.51,Ascomyocta,Ensembl-Genbank,,,
Aspergillus japonicus CBS 114.51 v1.0,Aspergillus japonicus CBS 114.51,CBS 114.51,Ascomyocta,JGI,,,
Aspergillus kawachii IFO 4308,Aspergillus kawachii IFO 4308,IFO 4308,Ascomyocta,FungiDB,,,
Aspergillus kawachii IFO 4308,Aspergillus kawachii IFO 4308,IFO 4308,Ascomyocta,JGI,,,
Aspergillus lacticoffeatus CBS 101883 (GCA_003184595),Aspergillus lacticoffeatus CBS 101883,CBS 101883,Ascomyocta,Ensembl-Genbank,,,
Aspergillus niger (lacticoffeatus) CBS 101883 v1.0,Aspergillus lacticoffeatus CBS 101883,CBS 101883,Ascomyocta,JGI,,,
Aspergillus lentulus (GCA_001445615),Aspergillus lentulus,IFM 54703,Ascomyocta,Ensembl-Genbank,,,
Aspergillus luchuensis CBS 106.47,Aspergillus luchuensis CBS 106.47,CBS 106.47,Ascomyocta,FungiDB,,,
Aspergillus luchuensis CBS 106.47 (GCA_001890685),Aspergillus luchuensis CBS 106.47,CBS 106.47,Ascomyocta,Ensembl-Genbank,,,
Aspergillus luchuensis CBS 106.47 v1.0,Aspergillus luchuensis CBS 106.47,CBS 106.47,Ascomyocta,JGI,,,
Aspergillus luchuensis str. RIB 2604 (GCA_001602395),Aspergillus luchuensis str. RIB 2604,RIB 2604,Ascomyocta,Ensembl-Genbank,,,
Aspergillus neoniger CBS 115656 (GCA_003184625),Aspergillus neoniger CBS 115656,CBS 115656,Ascomyocta,Ensembl-Genbank,,,
Aspergillus neoniger CBS 115656 v1.0,Aspergillus neoniger CBS 115656,CBS 115656,Ascomyocta,JGI,,,
Aspergillus nidulans FGSC A4,Aspergillus nidulans FGSC A4,FGSC A4,Ascomyocta,FungiDB,,,
Aspergillus nidulans FGSC A4 (GCA_000149205),Aspergillus nidulans FGSC A4,FGSC A4,Ascomyocta,Ensembl-Genbank,,,
Aspergillus niger (GCA_001515345),Aspergillus niger,An76,Ascomyocta,Ensembl-Genbank,,,
Aspergillus niger (GCA_900248155),Aspergillus niger,ATCC 64974,Ascomyocta,Ensembl-Genbank,,,
Aspergillus niger ATCC 1015,Aspergillus niger ATCC 1015,ATCC 1015,Ascomyocta,FungiDB,,,
Aspergillus niger ATCC 1015 (GCA_000230395),Aspergillus niger ATCC 1015,ATCC 1015,Ascomyocta,Ensembl-Genbank,,,
Aspergillus niger ATCC 1015 v4.0,Aspergillus niger ATCC 1015,ATCC 1015,Ascomyocta,JGI,,,
Aspergillus niger ATCC 13496,Aspergillus niger ATCC 13496,ATCC 13496,Ascomyocta,FungiDB,,,
Aspergillus niger CBS 513.88,Aspergillus niger CBS 513.88,CBS 513.88,Ascomyocta,FungiDB,,,
Aspergillus niger CBS 513.88,Aspergillus niger CBS 513.88,CBS 513.88,Ascomyocta,JGI,,,
Aspergillus niger NRRL3,Aspergillus niger NRRL3,NRRL 3,Ascomyocta,JGI,,,
Aspergillus niger strain N402 (ATCC64974),Aspergillus niger strain N402 (ATCC64974),ATCC 64974,Ascomyocta,FungiDB,,,
Aspergillus niger van Tieghem ATCC 13496 v1.0,Aspergillus niger van Tieghem ATCC 13496,ATCC 13496,Ascomyocta,JGI,,,
Aspergillus nomius NRRL 13137 (GCA_001204775),Aspergillus nomius NRRL 13137,NRRL 13137,Ascomyocta,Ensembl-Genbank,,,
Aspergillus novofumigatus IBT 16806,Aspergillus novofumigatus IBT 16806,IBT 16806,Ascomyocta,FungiDB,,,
Aspergillus novofumigatus IBT 16806 (GCA_002847465),Aspergillus novofumigatus IBT 16806,IBT 16806,Ascomyocta,Ensembl-Genbank,,,
Aspergillus novofumigatus IBT 16806 v1.0,Aspergillus novofumigatus IBT 16806,IBT 16806,Ascomyocta,JGI,,,
Aspergillus ochraceoroseus IBT 24754,Aspergillus ochraceoroseus IBT 24754,IBT 24754,Ascomyocta,FungiDB,,,
Aspergillus ochraceoroseus IBT 24754 (GCA_002846915),Aspergillus ochraceoroseus IBT 24754,IBT 24754,Ascomyocta,Ensembl-Genbank,,,
Aspergillus ochraceoroseus IBT 24754 v1.0,Aspergillus ochraceoroseus IBT 24754,IBT 24754,Ascomyocta,JGI,,,
Aspergillus ochraceoroseus SRRC1432,Aspergillus ochraceoroseus SRRC1432,SRRC1432,Ascomyocta,JGI,,,
Aspergillus ochraceoroseus str. SRRC1432 (GCA_000986665),Aspergillus ochraceoroseus str. SRRC1432,SRRC1432,Ascomyocta,Ensembl-Genbank,,,
Aspergillus oryzae 100-8 (GCA_000691885),Aspergillus oryzae 100-8,100-8,Ascomyocta,Ensembl-Genbank,,,
Aspergillus oryzae 3.042 (GCA_000269785),Aspergillus oryzae 3.042,3.042,Ascomyocta,Ensembl-Genbank,,,
Aspergillus oryzae RIB40,Aspergillus oryzae RIB40,RIB40,Ascomyocta,FungiDB,,,
Aspergillus oryzae RIB40,Aspergillus oryzae RIB40,RIB40,Ascomyocta,JGI,,,
Aspergillus oryzae RIB40,Aspergillus oryzae RIB40,RIB40,Ascomyocta,Ensembl-Genbank,,,
Aspergillus oryzae str. BCC7051 (GCA_002007945),Aspergillus oryzae str. BCC7051,BCC7051,Ascomyocta,Ensembl-Genbank,,,
Aspergillus parasiticus SU-1 (GCA_000956085),Aspergillus parasiticus SU-1,SU-1,Ascomyocta,Ensembl-Genbank,,,
Aspergillus niger (phoenicis Corda) Thom ATCC 13157 v1.0,Aspergillus phoenicis ,ATCC 13157,Ascomyocta,JGI,,,
Aspergillus piperis CBS 112811 (GCA_003184755),Aspergillus piperis CBS 112811,CBS 112811,Ascomyocta,Ensembl-Genbank,,,
Aspergillus piperis CBS 112811 v1.0,Aspergillus piperis CBS 112811,CBS 112811,Ascomyocta,JGI,,,
Aspergillus rambellii SRRC1468,Aspergillus rambellii SRRC1468,SRRC1468,Ascomyocta,JGI,,,
Aspergillus rambellii str. SRRC1468 (GCA_000986645),Aspergillus rambellii str. SRRC1468,SRRC1468,Ascomyocta,Ensembl-Genbank,,,
Eurotium rubrum v1.0,Aspergillus ruber,CBS 135680,,JGI,,,
Aspergillus ruber CBS 135680 (GCA_000600275),Aspergillus ruber CBS 135680,CBS 135680,Ascomyocta,Ensembl-Genbank,,,
Aspergillus saccharolyticus JOP 1030-1 (GCA_003184585),Aspergillus saccharolyticus JOP 1030-1,JOP 1030-1,Ascomyocta,Ensembl-Genbank,,,
Aspergillus saccharolyticus JOP 1030-1 v1.0,Aspergillus saccharolyticus JOP 1030-1,JOP 1030-1,Ascomyocta,JGI,,,
Aspergillus sclerotiicarbonarius CBS 121057 (GCA_003184635),Aspergillus sclerotiicarbonarius CBS 121057,CBS 121057,Ascomyocta,Ensembl-Genbank,,,
Aspergillus sclerotiicarbonarius CBS 121057 v1.0,Aspergillus sclerotiicarbonarius CBS 121057,CBS 121057,Ascomyocta,JGI,,,
Aspergillus sclerotioniger CBS 115572 (GCA_003184525),Aspergillus sclerotioniger CBS 115572,CBS 115572,Ascomyocta,Ensembl-Genbank,,,
Aspergillus sclerotioniger CBS115572 v1.0,Aspergillus sclerotioniger CBS115572,CBS115572,Ascomyocta,JGI,,,
Aspergillus steynii IBT 23096,Aspergillus steynii IBT 23096,IBT 23096,Ascomyocta,FungiDB,,,
Aspergillus steynii IBT 23096 (GCA_002849105),Aspergillus steynii IBT 23096,IBT 23096,Ascomyocta,Ensembl-Genbank,,,
Aspergillus steynii IBT 23096 v1.0,Aspergillus steynii IBT 23096,IBT 23096,Ascomyocta,JGI,,,
Aspergillus sydowii CBS 593.65,Aspergillus sydowii CBS 593.65,CBS 593.65,Ascomyocta,FungiDB,,,
Aspergillus sydowii CBS 593.65 (GCA_001890705),Aspergillus sydowii CBS 593.65,CBS 593.65,Ascomyocta,Ensembl-Genbank,,,
Aspergillus sydowii CBS 593.65 v1.0,Aspergillus sydowii CBS 593.65,CBS 593.65,Ascomyocta,JGI,,,
Aspergillus taichungensis IBT 19404 v1.0,Aspergillus taichungensis IBT 19404,IBT 19404,Ascomyocta,JGI,,,
Aspergillus taichungensis str. IBT 19404 (GCA_002850765),Aspergillus taichungensis str. IBT 19404,IBT 19404,Ascomyocta,Ensembl-Genbank,,,
Aspergillus terreus NIH 2624,Aspergillus terreus NIH 2624,NIH 2624,Ascomyocta,JGI,,,
Aspergillus terreus NIH2624,Aspergillus terreus NIH2624,NIH2624,Ascomyocta,FungiDB,,,
Aspergillus terreus NIH2624,Aspergillus terreus NIH2624,NIH2624,Ascomyocta,Ensembl-Genbank,,,
Aspergillus thermomutatus (GCA_002237265),Aspergillus thermomutatus,HMR AF 39,Ascomyocta,Ensembl-Genbank,,,
Aspergillus tubingensis v1.0,Aspergillus tubingensis,CBS 134.48,Ascomyocta,JGI,,,
Aspergillus tubingensis CBS 134.48,Aspergillus tubingensis CBS 134.48,CBS 134.48,Ascomyocta,FungiDB,,,
Aspergillus tubingensis CBS 134.48 (GCA_001890745),Aspergillus tubingensis CBS 134.48,CBS 134.48,Ascomyocta,Ensembl-Genbank,,,
Aspergillus turcosus (GCA_002234975),Aspergillus turcosus,HMR AF 1038,Ascomyocta,Ensembl-Genbank,,,
Aspergillus turcosus (GCA_002234965),Aspergillus turcosus,HMR AF 23,Ascomyocta,Ensembl-Genbank,,,
Aspergillus udagawae IFM 46973,Aspergillus udagawae IFM 46973,IFM 46973,Ascomyocta,JGI,,,
Aspergillus udagawae str. IFM 46973 (GCA_001078395),Aspergillus udagawae str. IFM 46973,IFM 46973,Ascomyocta,Ensembl-Genbank,,,
Aspergillus ustus str. 3.3904 (GCA_000812125),Aspergillus ustus str. 3.3904,3.3904,Ascomyocta,Ensembl-Genbank,,,
Aspergillus uvarum CBS 121591 (GCA_003184745),Aspergillus uvarum CBS 121591,CBS 121591,Ascomyocta,Ensembl-Genbank,,,
Aspergillus uvarum CBS 121591 v1.0,Aspergillus uvarum CBS 121591,CBS 121591,Ascomyocta,JGI,,,
Aspergillus vadensis CBS 113365 (GCA_003184925),Aspergillus vadensis CBS 113365,CBS 113365,Ascomyocta,Ensembl-Genbank,,,
Aspergillus vadensis CBS 113365 v1.0,Aspergillus vadensis CBS 113365,CBS 113365,Ascomyocta,JGI,,,
